AAMI,AAMPC,AAUG,ACAZ,ACELX,ACIP,ACOL,ACTX,ACXM,ACXT,AERT,AESBL,AFOX,AGEN,AIMP,AMEC,AMER,ANIT,ATAZ,ATEM,ATOB,ATRI,ACEFP
AERT,10893.0,5458.0,11025.0,10612.0,11055.0,11019.0,8862.0,10766.0,0.0,9966.0,1064.0,-0.0006017031403989,0.0206096667881707,-0.0003933345168817,,0.0082622001160255,0.0039175616976323,0.0040798888737009,0.0204053419380119,0.0211688758937259,-0.0176367574242225,0.0026311287473943,0.027001741729401
AESBL,9130.0,5690.0,9391.0,8865.0,9429.0,9395.0,7283.0,9023.0,693.0,8354.0,8638.0,923.0,0.2143902046236314,-0.1395393156326122,-0.0026556778560707,0.0490421115113137,-0.0007296749784133,0.0031055902159608,-0.0775771968364017,-0.0215665818856646,-0.2660324338762095,-0.1565376775606844,-0.4325971854990819
AFOX,953.0,521.0,1036.0,910.0,1034.0,1013.0,796.0,948.0,0.0,0.0,1070.0,901.0,0.0,-0.1448287863718818,,0.0439346254632687,-0.0032329251162894,0.0004298007777033,0.0974075293748845,0.0951023252186941,,-0.0915390530591164,
AGEN,11967.0,5930.0,77571.0,11679.0,77609.0,77681.0,9726.0,11826.0,1302.0,11028.0,10984.0,9297.0,1001.0,7004.0,-0.002018562883496,-0.0181655491954886,0.0040913231847451,0.031388315559786,0.0550242913256415,0.0351422859833878,0.5959964787768806,0.1502254424767558,0.2140104239343994
AIMP,1199.0,0.0,1204.0,1207.0,1205.0,1208.0,1202.0,1200.0,1202.0,1203.0,0.0,685.0,0.0,1200.0,0.0,-0.0005394977509403,-2.486170673481354e-05,-0.0010568773365572,-0.0015648316895085,,-0.0007135224768284,0.0013801571113964,0.0015083775326697
AMEC,11230.0,5792.0,11278.0,10943.0,11323.0,11303.0,9131.0,11087.0,643.0,10289.0,10481.0,8932.0,954.0,11272.0,636.0,1085.0,0.0010784796327132,0.0059250910308179,0.092269386168369,0.0286305762975148,-0.0029188129655971,0.0158222878661825,-0.0597897323222483
AMER,11959.0,5927.0,12137.0,11684.0,12173.0,12140.0,9711.0,11832.0,1216.0,11022.0,11107.0,9310.0,1086.0,12083.0,1204.0,11264.0,1103.0,-0.0004791703280898,0.0033600069812502,0.0015074482201115,0.0045452616797187,0.0018658501177807,0.0018360126104991
ANIT,11997.0,5969.0,93524.0,11715.0,93592.0,93571.0,9761.0,11866.0,1241.0,11062.0,11029.0,9397.0,1012.0,77616.0,1205.0,11316.0,12146.0,7080.0,0.0419878094534732,0.0144924976185405,0.0915127598271202,0.0349076941392335,0.0469213290488814
ATAZ,11431.0,5704.0,11588.0,11182.0,11607.0,11639.0,9328.0,11324.0,1287.0,10554.0,10581.0,8869.0,1027.0,11610.0,1204.0,10732.0,11638.0,11578.0,1042.0,0.0971932553050095,0.1688399756640149,0.0553348917922324,-0.0527922551969691
ATEM,10913.0,5476.0,11035.0,10640.0,11072.0,11096.0,8852.0,10781.0,503.0,10032.0,10906.0,8612.0,964.0,11065.0,0.0,10510.0,11053.0,11053.0,10630.0,1062.0,0.1010875002856936,0.021757398312163,0.0495181222578915
